condition_id,icd10_code,condition_name,icd10_category,chapter_code,chapter_title,long_description,is_billable,search_name,source
10001,I77.89,Other specified disorders of arteries and arterioles,health_factors,XXI,Factors influencing health status,Other specified disorders of arteries and arterioles,1,other specified disorders of arteries and arterioles,CMS_ICD-10-CM_tabular_order
10002,I77.9,"Disorder of arteries and arterioles, unspecified",health_factors,XXI,Factors influencing health status,"Disorder of arteries and arterioles, unspecified",1,"disorder of arteries and arterioles, unspecified",CMS_ICD-10-CM_tabular_order
10003,I78.0,Hereditary hemorrhagic telangiectasia,health_factors,XXI,Factors influencing health status,Hereditary hemorrhagic telangiectasia,1,hereditary hemorrhagic telangiectasia,CMS_ICD-10-CM_tabular_order
10004,I78.1,"Nevus, non-neoplastic",health_factors,XXI,Factors influencing health status,"Nevus, non-neoplastic",1,"nevus, non-neoplastic",CMS_ICD-10-CM_tabular_order
10005,I78.8,Other diseases of capillaries,health_factors,XXI,Factors influencing health status,Other diseases of capillaries,1,other diseases of capillaries,CMS_ICD-10-CM_tabular_order
10006,I78.9,"Disease of capillaries, unspecified",health_factors,XXI,Factors influencing health status,"Disease of capillaries, unspecified",1,"disease of capillaries, unspecified",CMS_ICD-10-CM_tabular_order
10007,I79.0,Aneurysm of aorta in diseases classified elsewhere,health_factors,XXI,Factors influencing health status,Aneurysm of aorta in diseases classified elsewhere,1,aneurysm of aorta in diseases classified elsewhere,CMS_ICD-10-CM_tabular_order
10008,I79.1,Aortitis in diseases classified elsewhere,health_factors,XXI,Factors influencing health status,Aortitis in diseases classified elsewhere,1,aortitis in diseases classified elsewhere,CMS_ICD-10-CM_tabular_order
10009,I79.8,"Oth disord of art,arterioles & capilare in dis classd elswhr",health_factors,XXI,Factors influencing health status,"Other disorders of arteries, arterioles and capillaries in diseases classified elsewhere",1,"oth disord of art,arterioles & capilare in dis classd elswhr",CMS_ICD-10-CM_tabular_order
10010,I80.00,Phlbts and thombophlb of superfic vessels of unsp low extrm,health_factors,XXI,Factors influencing health status,Phlebitis and thrombophlebitis of superficial vessels of unspecified lower extremity,1,phlbts and thombophlb of superfic vessels of unsp low extrm,CMS_ICD-10-CM_tabular_order
10011,I80.01,Phlebitis and thombophlb of superfic vessels of r low extrem,health_factors,XXI,Factors influencing health status,Phlebitis and thrombophlebitis of superficial vessels of right lower extremity,1,phlebitis and thombophlb of superfic vessels of r low extrem,CMS_ICD-10-CM_tabular_order
10012,I80.02,Phlebitis and thombophlb of superfic vessels of l low extrem,health_factors,XXI,Factors influencing health status,Phlebitis and thrombophlebitis of superficial vessels of left lower extremity,1,phlebitis and thombophlb of superfic vessels of l low extrem,CMS_ICD-10-CM_tabular_order
10013,I80.03,"Phlbts and thombophlb of superfic vessels of low extrm, bi",health_factors,XXI,Factors influencing health status,"Phlebitis and thrombophlebitis of superficial vessels of lower extremities, bilateral",1,"phlbts and thombophlb of superfic vessels of low extrm, bi",CMS_ICD-10-CM_tabular_order
10014,I80.10,Phlebitis and thrombophlebitis of unspecified femoral vein,health_factors,XXI,Factors influencing health status,Phlebitis and thrombophlebitis of unspecified femoral vein,1,phlebitis and thrombophlebitis of unspecified femoral vein,CMS_ICD-10-CM_tabular_order
10015,I80.11,Phlebitis and thrombophlebitis of right femoral vein,health_factors,XXI,Factors influencing health status,Phlebitis and thrombophlebitis of right femoral vein,1,phlebitis and thrombophlebitis of right femoral vein,CMS_ICD-10-CM_tabular_order
10016,I80.12,Phlebitis and thrombophlebitis of left femoral vein,health_factors,XXI,Factors influencing health status,Phlebitis and thrombophlebitis of left femoral vein,1,phlebitis and thrombophlebitis of left femoral vein,CMS_ICD-10-CM_tabular_order
10017,I80.13,"Phlebitis and thrombophlebitis of femoral vein, bilateral",health_factors,XXI,Factors influencing health status,"Phlebitis and thrombophlebitis of femoral vein, bilateral",1,"phlebitis and thrombophlebitis of femoral vein, bilateral",CMS_ICD-10-CM_tabular_order
