condition_id,icd10_code,condition_name,icd10_category,chapter_code,chapter_title,long_description,is_billable,search_name,source
40001,S62.111A,"Disp fx of triquetrum bone, right wrist, init for clos fx",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, right wrist, initial encounter for closed fracture",1,"disp fx of triquetrum bone, right wrist, init for clos fx",CMS_ICD-10-CM_tabular_order
40002,S62.111B,"Disp fx of triquetrum bone, right wrist, init for opn fx",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, right wrist, initial encounter for open fracture",1,"disp fx of triquetrum bone, right wrist, init for opn fx",CMS_ICD-10-CM_tabular_order
40003,S62.111D,"Disp fx of triquetrum bone, r wrs, subs for fx w routn heal",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, right wrist, subsequent encounter for fracture with routine healing",1,"disp fx of triquetrum bone, r wrs, subs for fx w routn heal",CMS_ICD-10-CM_tabular_order
40004,S62.111G,"Disp fx of triquetrum bone, r wrs, subs for fx w delay heal",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, right wrist, subsequent encounter for fracture with delayed healing",1,"disp fx of triquetrum bone, r wrs, subs for fx w delay heal",CMS_ICD-10-CM_tabular_order
40005,S62.111K,"Disp fx of triquetrum bone, r wrist, subs for fx w nonunion",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, right wrist, subsequent encounter for fracture with nonunion",1,"disp fx of triquetrum bone, r wrist, subs for fx w nonunion",CMS_ICD-10-CM_tabular_order
40006,S62.111P,"Disp fx of triquetrum bone, r wrist, subs for fx w malunion",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, right wrist, subsequent encounter for fracture with malunion",1,"disp fx of triquetrum bone, r wrist, subs for fx w malunion",CMS_ICD-10-CM_tabular_order
40007,S62.111S,"Displaced fracture of triquetrum bone, right wrist, sequela",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, right wrist, sequela",1,"displaced fracture of triquetrum bone, right wrist, sequela",CMS_ICD-10-CM_tabular_order
40008,S62.112A,"Disp fx of triquetrum bone, left wrist, init for clos fx",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, left wrist, initial encounter for closed fracture",1,"disp fx of triquetrum bone, left wrist, init for clos fx",CMS_ICD-10-CM_tabular_order
40009,S62.112B,"Disp fx of triquetrum bone, left wrist, init for opn fx",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, left wrist, initial encounter for open fracture",1,"disp fx of triquetrum bone, left wrist, init for opn fx",CMS_ICD-10-CM_tabular_order
40010,S62.112D,"Disp fx of triquetrum bone, l wrs, subs for fx w routn heal",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, left wrist, subsequent encounter for fracture with routine healing",1,"disp fx of triquetrum bone, l wrs, subs for fx w routn heal",CMS_ICD-10-CM_tabular_order
40011,S62.112G,"Disp fx of triquetrum bone, l wrs, subs for fx w delay heal",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, left wrist, subsequent encounter for fracture with delayed healing",1,"disp fx of triquetrum bone, l wrs, subs for fx w delay heal",CMS_ICD-10-CM_tabular_order
40012,S62.112K,"Disp fx of triquetrum bone, l wrist, subs for fx w nonunion",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, left wrist, subsequent encounter for fracture with nonunion",1,"disp fx of triquetrum bone, l wrist, subs for fx w nonunion",CMS_ICD-10-CM_tabular_order
40013,S62.112P,"Disp fx of triquetrum bone, l wrist, subs for fx w malunion",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, left wrist, subsequent encounter for fracture with malunion",1,"disp fx of triquetrum bone, l wrist, subs for fx w malunion",CMS_ICD-10-CM_tabular_order
40014,S62.112S,"Displaced fracture of triquetrum bone, left wrist, sequela",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, left wrist, sequela",1,"displaced fracture of triquetrum bone, left wrist, sequela",CMS_ICD-10-CM_tabular_order
40015,S62.113A,"Disp fx of triquetrum bone, unsp wrist, init for clos fx",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, unspecified wrist, initial encounter for closed fracture",1,"disp fx of triquetrum bone, unsp wrist, init for clos fx",CMS_ICD-10-CM_tabular_order
40016,S62.113B,"Disp fx of triquetrum bone, unsp wrist, init for opn fx",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, unspecified wrist, initial encounter for open fracture",1,"disp fx of triquetrum bone, unsp wrist, init for opn fx",CMS_ICD-10-CM_tabular_order
40017,S62.113D,"Disp fx of triquetrum bone, unsp wrs, 7thD",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, unspecified wrist, subsequent encounter for fracture with routine healing",1,"disp fx of triquetrum bone, unsp wrs, 7thd",CMS_ICD-10-CM_tabular_order
40018,S62.113G,"Disp fx of triquetrum bone, unsp wrs, 7thG",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, unspecified wrist, subsequent encounter for fracture with delayed healing",1,"disp fx of triquetrum bone, unsp wrs, 7thg",CMS_ICD-10-CM_tabular_order
40019,S62.113K,"Disp fx of triquetrum bone, unsp wrs, subs for fx w nonunion",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, unspecified wrist, subsequent encounter for fracture with nonunion",1,"disp fx of triquetrum bone, unsp wrs, subs for fx w nonunion",CMS_ICD-10-CM_tabular_order
40020,S62.113P,"Disp fx of triquetrum bone, unsp wrs, subs for fx w malunion",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, unspecified wrist, subsequent encounter for fracture with malunion",1,"disp fx of triquetrum bone, unsp wrs, subs for fx w malunion",CMS_ICD-10-CM_tabular_order
40021,S62.113S,"Disp fx of triquetrum bone, unspecified wrist, sequela",injury_poisoning,XIX,"Injury, poisoning and external causes","Displaced fracture of triquetrum [cuneiform] bone, unspecified wrist, sequela",1,"disp fx of triquetrum bone, unspecified wrist, sequela",CMS_ICD-10-CM_tabular_order
40022,S62.114A,"Nondisp fx of triquetrum bone, right wrist, init for clos fx",injury_poisoning,XIX,"Injury, poisoning and external causes","Nondisplaced fracture of triquetrum [cuneiform] bone, right wrist, initial encounter for closed fracture",1,"nondisp fx of triquetrum bone, right wrist, init for clos fx",CMS_ICD-10-CM_tabular_order
40023,S62.114B,"Nondisp fx of triquetrum bone, right wrist, init for opn fx",injury_poisoning,XIX,"Injury, poisoning and external causes","Nondisplaced fracture of triquetrum [cuneiform] bone, right wrist, initial encounter for open fracture",1,"nondisp fx of triquetrum bone, right wrist, init for opn fx",CMS_ICD-10-CM_tabular_order
40024,S62.114D,"Nondisp fx of triquetrum bone, r wrs, 7thD",injury_poisoning,XIX,"Injury, poisoning and external causes","Nondisplaced fracture of triquetrum [cuneiform] bone, right wrist, subsequent encounter for fracture with routine healing",1,"nondisp fx of triquetrum bone, r wrs, 7thd",CMS_ICD-10-CM_tabular_order
40025,S62.114G,"Nondisp fx of triquetrum bone, r wrs, 7thG",injury_poisoning,XIX,"Injury, poisoning and external causes","Nondisplaced fracture of triquetrum [cuneiform] bone, right wrist, subsequent encounter for fracture with delayed healing",1,"nondisp fx of triquetrum bone, r wrs, 7thg",CMS_ICD-10-CM_tabular_order
40026,S62.114K,"Nondisp fx of triquetrum bone, r wrs, subs for fx w nonunion",injury_poisoning,XIX,"Injury, poisoning and external causes","Nondisplaced fracture of triquetrum [cuneiform] bone, right wrist, subsequent encounter for fracture with nonunion",1,"nondisp fx of triquetrum bone, r wrs, subs for fx w nonunion",CMS_ICD-10-CM_tabular_order
40027,S62.114P,"Nondisp fx of triquetrum bone, r wrs, subs for fx w malunion",injury_poisoning,XIX,"Injury, poisoning and external causes","Nondisplaced fracture of triquetrum [cuneiform] bone, right wrist, subsequent encounter for fracture with malunion",1,"nondisp fx of triquetrum bone, r wrs, subs for fx w malunion",CMS_ICD-10-CM_tabular_order
40028,S62.114S,"Nondisp fx of triquetrum bone, right wrist, sequela",injury_poisoning,XIX,"Injury, poisoning and external causes","Nondisplaced fracture of triquetrum [cuneiform] bone, right wrist, sequela",1,"nondisp fx of triquetrum bone, right wrist, sequela",CMS_ICD-10-CM_tabular_order
40029,S62.115A,"Nondisp fx of triquetrum bone, left wrist, init for clos fx",injury_poisoning,XIX,"Injury, poisoning and external causes","Nondisplaced fracture of triquetrum [cuneiform] bone, left wrist, initial encounter for closed fracture",1,"nondisp fx of triquetrum bone, left wrist, init for clos fx",CMS_ICD-10-CM_tabular_order
40030,S62.115B,"Nondisp fx of triquetrum bone, left wrist, init for opn fx",injury_poisoning,XIX,"Injury, poisoning and external causes","Nondisplaced fracture of triquetrum [cuneiform] bone, left wrist, initial encounter for open fracture",1,"nondisp fx of triquetrum bone, left wrist, init for opn fx",CMS_ICD-10-CM_tabular_order
