condition_id,icd10_code,condition_name,icd10_category,chapter_code,chapter_title,long_description,is_billable,search_name,source
20001,O03.7,Embolism following complete or unsp spontaneous abortion,health_factors,XXI,Factors influencing health status,Embolism following complete or unspecified spontaneous abortion,1,embolism following complete or unsp spontaneous abortion,CMS_ICD-10-CM_tabular_order
20002,O03.80,Unsp comp following complete or unsp spontaneous abortion,health_factors,XXI,Factors influencing health status,Unspecified complication following complete or unspecified spontaneous abortion,1,unsp comp following complete or unsp spontaneous abortion,CMS_ICD-10-CM_tabular_order
20003,O03.81,Shock following complete or unspecified spontaneous abortion,health_factors,XXI,Factors influencing health status,Shock following complete or unspecified spontaneous abortion,1,shock following complete or unspecified spontaneous abortion,CMS_ICD-10-CM_tabular_order
20004,O03.82,Renal failure following complete or unsp spon abortion,health_factors,XXI,Factors influencing health status,Renal failure following complete or unspecified spontaneous abortion,1,renal failure following complete or unsp spon abortion,CMS_ICD-10-CM_tabular_order
20005,O03.83,Metabolic disorder following complete or unsp spon abortion,health_factors,XXI,Factors influencing health status,Metabolic disorder following complete or unspecified spontaneous abortion,1,metabolic disorder following complete or unsp spon abortion,CMS_ICD-10-CM_tabular_order
20006,O03.84,Damage to pelvic organs fol complete or unsp spon abortion,health_factors,XXI,Factors influencing health status,Damage to pelvic organs following complete or unspecified spontaneous abortion,1,damage to pelvic organs fol complete or unsp spon abortion,CMS_ICD-10-CM_tabular_order
20007,O03.85,Oth venous comp following complete or unsp spon abortion,health_factors,XXI,Factors influencing health status,Other venous complications following complete or unspecified spontaneous abortion,1,oth venous comp following complete or unsp spon abortion,CMS_ICD-10-CM_tabular_order
20008,O03.86,Cardiac arrest following complete or unsp spon abortion,health_factors,XXI,Factors influencing health status,Cardiac arrest following complete or unspecified spontaneous abortion,1,cardiac arrest following complete or unsp spon abortion,CMS_ICD-10-CM_tabular_order
20009,O03.87,Sepsis following complete or unsp spontaneous abortion,health_factors,XXI,Factors influencing health status,Sepsis following complete or unspecified spontaneous abortion,1,sepsis following complete or unsp spontaneous abortion,CMS_ICD-10-CM_tabular_order
20010,O03.88,Urinary tract infection fol complete or unsp spon abortion,health_factors,XXI,Factors influencing health status,Urinary tract infection following complete or unspecified spontaneous abortion,1,urinary tract infection fol complete or unsp spon abortion,CMS_ICD-10-CM_tabular_order
20011,O03.89,Complete or unsp spontaneous abortion with oth complications,health_factors,XXI,Factors influencing health status,Complete or unspecified spontaneous abortion with other complications,1,complete or unsp spontaneous abortion with oth complications,CMS_ICD-10-CM_tabular_order
20012,O03.9,Complete or unsp spontaneous abortion without complication,health_factors,XXI,Factors influencing health status,Complete or unspecified spontaneous abortion without complication,1,complete or unsp spontaneous abortion without complication,CMS_ICD-10-CM_tabular_order
20013,O04.5,Genitl trct and pelvic infct fol (induced) term of pregnancy,health_factors,XXI,Factors influencing health status,Genital tract and pelvic infection following (induced) termination of pregnancy,1,genitl trct and pelvic infct fol (induced) term of pregnancy,CMS_ICD-10-CM_tabular_order
20014,O04.6,Delayed or excess hemor fol (induced) term of pregnancy,health_factors,XXI,Factors influencing health status,Delayed or excessive hemorrhage following (induced) termination of pregnancy,1,delayed or excess hemor fol (induced) term of pregnancy,CMS_ICD-10-CM_tabular_order
20015,O04.7,Embolism following (induced) termination of pregnancy,health_factors,XXI,Factors influencing health status,Embolism following (induced) termination of pregnancy,1,embolism following (induced) termination of pregnancy,CMS_ICD-10-CM_tabular_order
20016,O04.80,(Induced) termination of pregnancy with unsp complications,health_factors,XXI,Factors influencing health status,(Induced) termination of pregnancy with unspecified complications,1,(induced) termination of pregnancy with unsp complications,CMS_ICD-10-CM_tabular_order
20017,O04.81,Shock following (induced) termination of pregnancy,health_factors,XXI,Factors influencing health status,Shock following (induced) termination of pregnancy,1,shock following (induced) termination of pregnancy,CMS_ICD-10-CM_tabular_order
20018,O04.82,Renal failure following (induced) termination of pregnancy,health_factors,XXI,Factors influencing health status,Renal failure following (induced) termination of pregnancy,1,renal failure following (induced) termination of pregnancy,CMS_ICD-10-CM_tabular_order
20019,O04.83,Metabolic disorder following (induced) term of pregnancy,health_factors,XXI,Factors influencing health status,Metabolic disorder following (induced) termination of pregnancy,1,metabolic disorder following (induced) term of pregnancy,CMS_ICD-10-CM_tabular_order
20020,O04.84,Damage to pelvic organs fol (induced) term of pregnancy,health_factors,XXI,Factors influencing health status,Damage to pelvic organs following (induced) termination of pregnancy,1,damage to pelvic organs fol (induced) term of pregnancy,CMS_ICD-10-CM_tabular_order
20021,O04.85,Oth venous comp following (induced) termination of pregnancy,health_factors,XXI,Factors influencing health status,Other venous complications following (induced) termination of pregnancy,1,oth venous comp following (induced) termination of pregnancy,CMS_ICD-10-CM_tabular_order
