condition_id,icd10_code,condition_name,icd10_category,chapter_code,chapter_title,long_description,is_billable,search_name,source
60001,T43.631D,"Poisoning by methylphenidate, accidental, subs",health_factors,XXI,Factors influencing health status,"Poisoning by methylphenidate, accidental (unintentional), subsequent encounter",1,"poisoning by methylphenidate, accidental, subs",CMS_ICD-10-CM_tabular_order
60002,T43.631S,"Poisoning by methylphenidate, accidental, sequela",health_factors,XXI,Factors influencing health status,"Poisoning by methylphenidate, accidental (unintentional), sequela",1,"poisoning by methylphenidate, accidental, sequela",CMS_ICD-10-CM_tabular_order
60003,T43.632A,"Poisoning by methylphenidate, intentional self-harm, init",health_factors,XXI,Factors influencing health status,"Poisoning by methylphenidate, intentional self-harm, initial encounter",1,"poisoning by methylphenidate, intentional self-harm, init",CMS_ICD-10-CM_tabular_order
60004,T43.632D,"Poisoning by methylphenidate, intentional self-harm, subs",health_factors,XXI,Factors influencing health status,"Poisoning by methylphenidate, intentional self-harm, subsequent encounter",1,"poisoning by methylphenidate, intentional self-harm, subs",CMS_ICD-10-CM_tabular_order
60005,T43.632S,"Poisoning by methylphenidate, intentional self-harm, sequela",health_factors,XXI,Factors influencing health status,"Poisoning by methylphenidate, intentional self-harm, sequela",1,"poisoning by methylphenidate, intentional self-harm, sequela",CMS_ICD-10-CM_tabular_order
60006,T43.633A,"Poisoning by methylphenidate, assault, initial encounter",health_factors,XXI,Factors influencing health status,"Poisoning by methylphenidate, assault, initial encounter",1,"poisoning by methylphenidate, assault, initial encounter",CMS_ICD-10-CM_tabular_order
60007,T43.633D,"Poisoning by methylphenidate, assault, subsequent encounter",health_factors,XXI,Factors influencing health status,"Poisoning by methylphenidate, assault, subsequent encounter",1,"poisoning by methylphenidate, assault, subsequent encounter",CMS_ICD-10-CM_tabular_order
60008,T43.633S,"Poisoning by methylphenidate, assault, sequela",health_factors,XXI,Factors influencing health status,"Poisoning by methylphenidate, assault, sequela",1,"poisoning by methylphenidate, assault, sequela",CMS_ICD-10-CM_tabular_order
60009,T43.634A,"Poisoning by methylphenidate, undetermined, init encntr",health_factors,XXI,Factors influencing health status,"Poisoning by methylphenidate, undetermined, initial encounter",1,"poisoning by methylphenidate, undetermined, init encntr",CMS_ICD-10-CM_tabular_order
60010,T43.634D,"Poisoning by methylphenidate, undetermined, subs encntr",health_factors,XXI,Factors influencing health status,"Poisoning by methylphenidate, undetermined, subsequent encounter",1,"poisoning by methylphenidate, undetermined, subs encntr",CMS_ICD-10-CM_tabular_order
60011,T43.634S,"Poisoning by methylphenidate, undetermined, sequela",health_factors,XXI,Factors influencing health status,"Poisoning by methylphenidate, undetermined, sequela",1,"poisoning by methylphenidate, undetermined, sequela",CMS_ICD-10-CM_tabular_order
60012,T43.635A,"Adverse effect of methylphenidate, initial encounter",health_factors,XXI,Factors influencing health status,"Adverse effect of methylphenidate, initial encounter",1,"adverse effect of methylphenidate, initial encounter",CMS_ICD-10-CM_tabular_order
60013,T43.635D,"Adverse effect of methylphenidate, subsequent encounter",health_factors,XXI,Factors influencing health status,"Adverse effect of methylphenidate, subsequent encounter",1,"adverse effect of methylphenidate, subsequent encounter",CMS_ICD-10-CM_tabular_order
60014,T43.635S,"Adverse effect of methylphenidate, sequela",health_factors,XXI,Factors influencing health status,"Adverse effect of methylphenidate, sequela",1,"adverse effect of methylphenidate, sequela",CMS_ICD-10-CM_tabular_order
60015,T43.636A,"Underdosing of methylphenidate, initial encounter",health_factors,XXI,Factors influencing health status,"Underdosing of methylphenidate, initial encounter",1,"underdosing of methylphenidate, initial encounter",CMS_ICD-10-CM_tabular_order
60016,T43.636D,"Underdosing of methylphenidate, subsequent encounter",health_factors,XXI,Factors influencing health status,"Underdosing of methylphenidate, subsequent encounter",1,"underdosing of methylphenidate, subsequent encounter",CMS_ICD-10-CM_tabular_order
60017,T43.636S,"Underdosing of methylphenidate, sequela",health_factors,XXI,Factors influencing health status,"Underdosing of methylphenidate, sequela",1,"underdosing of methylphenidate, sequela",CMS_ICD-10-CM_tabular_order
60018,T43.641A,"Poisoning by ecstasy, accidental (unintentional), init",health_factors,XXI,Factors influencing health status,"Poisoning by ecstasy, accidental (unintentional), initial encounter",1,"poisoning by ecstasy, accidental (unintentional), init",CMS_ICD-10-CM_tabular_order
60019,T43.641D,"Poisoning by ecstasy, accidental (unintentional), subs",health_factors,XXI,Factors influencing health status,"Poisoning by ecstasy, accidental (unintentional), subsequent encounter",1,"poisoning by ecstasy, accidental (unintentional), subs",CMS_ICD-10-CM_tabular_order
60020,T43.641S,"Poisoning by ecstasy, accidental (unintentional), sequela",health_factors,XXI,Factors influencing health status,"Poisoning by ecstasy, accidental (unintentional), sequela",1,"poisoning by ecstasy, accidental (unintentional), sequela",CMS_ICD-10-CM_tabular_order
60021,T43.642A,"Poisoning by ecstasy, self-harm, initial encounter",health_factors,XXI,Factors influencing health status,"Poisoning by ecstasy, intentional self-harm, initial encounter",1,"poisoning by ecstasy, self-harm, initial encounter",CMS_ICD-10-CM_tabular_order
60022,T43.642D,"Poisoning by ecstasy, self-harm, subsequent encounter",health_factors,XXI,Factors influencing health status,"Poisoning by ecstasy, intentional self-harm, subsequent encounter",1,"poisoning by ecstasy, self-harm, subsequent encounter",CMS_ICD-10-CM_tabular_order
60023,T43.642S,"Poisoning by ecstasy, intentional self-harm, sequela",health_factors,XXI,Factors influencing health status,"Poisoning by ecstasy, intentional self-harm, sequela",1,"poisoning by ecstasy, intentional self-harm, sequela",CMS_ICD-10-CM_tabular_order
60024,T43.643A,"Poisoning by ecstasy, assault, initial encounter",health_factors,XXI,Factors influencing health status,"Poisoning by ecstasy, assault, initial encounter",1,"poisoning by ecstasy, assault, initial encounter",CMS_ICD-10-CM_tabular_order
60025,T43.643D,"Poisoning by ecstasy, assault, subsequent encounter",health_factors,XXI,Factors influencing health status,"Poisoning by ecstasy, assault, subsequent encounter",1,"poisoning by ecstasy, assault, subsequent encounter",CMS_ICD-10-CM_tabular_order
60026,T43.643S,"Poisoning by ecstasy, assault, sequela",health_factors,XXI,Factors influencing health status,"Poisoning by ecstasy, assault, sequela",1,"poisoning by ecstasy, assault, sequela",CMS_ICD-10-CM_tabular_order
60027,T43.644A,"Poisoning by ecstasy, undetermined, initial encounter",health_factors,XXI,Factors influencing health status,"Poisoning by ecstasy, undetermined, initial encounter",1,"poisoning by ecstasy, undetermined, initial encounter",CMS_ICD-10-CM_tabular_order
60028,T43.644D,"Poisoning by ecstasy, undetermined, subsequent encounter",health_factors,XXI,Factors influencing health status,"Poisoning by ecstasy, undetermined, subsequent encounter",1,"poisoning by ecstasy, undetermined, subsequent encounter",CMS_ICD-10-CM_tabular_order
