condition_id,icd10_code,condition_name,icd10_category,chapter_code,chapter_title,long_description,is_billable,search_name,source
1,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",infectious_parasitic,I,Certain infectious and parasitic diseases,"Cholera due to Vibrio cholerae 01, biovar cholerae",1,"cholera due to vibrio cholerae 01, biovar cholerae",CMS_ICD-10-CM_tabular_order
2,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",infectious_parasitic,I,Certain infectious and parasitic diseases,"Cholera due to Vibrio cholerae 01, biovar eltor",1,"cholera due to vibrio cholerae 01, biovar eltor",CMS_ICD-10-CM_tabular_order
3,A00.9,"Cholera, unspecified",infectious_parasitic,I,Certain infectious and parasitic diseases,"Cholera, unspecified",1,"cholera, unspecified",CMS_ICD-10-CM_tabular_order
4,A01.00,"Typhoid fever, unspecified",infectious_parasitic,I,Certain infectious and parasitic diseases,"Typhoid fever, unspecified",1,"typhoid fever, unspecified",CMS_ICD-10-CM_tabular_order
5,A01.01,Typhoid meningitis,infectious_parasitic,I,Certain infectious and parasitic diseases,Typhoid meningitis,1,typhoid meningitis,CMS_ICD-10-CM_tabular_order
6,A01.02,Typhoid fever with heart involvement,infectious_parasitic,I,Certain infectious and parasitic diseases,Typhoid fever with heart involvement,1,typhoid fever with heart involvement,CMS_ICD-10-CM_tabular_order
7,A01.03,Typhoid pneumonia,infectious_parasitic,I,Certain infectious and parasitic diseases,Typhoid pneumonia,1,typhoid pneumonia,CMS_ICD-10-CM_tabular_order
8,A01.04,Typhoid arthritis,infectious_parasitic,I,Certain infectious and parasitic diseases,Typhoid arthritis,1,typhoid arthritis,CMS_ICD-10-CM_tabular_order
9,A01.05,Typhoid osteomyelitis,infectious_parasitic,I,Certain infectious and parasitic diseases,Typhoid osteomyelitis,1,typhoid osteomyelitis,CMS_ICD-10-CM_tabular_order
10,A01.09,Typhoid fever with other complications,infectious_parasitic,I,Certain infectious and parasitic diseases,Typhoid fever with other complications,1,typhoid fever with other complications,CMS_ICD-10-CM_tabular_order
11,A01.1,Paratyphoid fever A,infectious_parasitic,I,Certain infectious and parasitic diseases,Paratyphoid fever A,1,paratyphoid fever a,CMS_ICD-10-CM_tabular_order
