symptom_id,symptom_name,category,description,related_body_system,search_name,source
34001,Rete Ridges Elongated,general,HPO exact synonym for Rete Ridge Elongation. HPO HP:0034768: Increased length of the rete rdiges of the epidermis.,general,rete ridges elongated,HPO
34002,"Retention of Urine, Unspecified",general,"ICD-10-CM R33.9: Retention of urine, unspecified",general,retention of urine unspecified,ICD-10-CM
34003,Reticular,general,HPO HP:0033818: Applies to an abnormality whose distribution and appearance resembles a net or network-like structure.,general,reticular,HPO
34004,Reticular Degeneration of the RPE,general,HPO exact synonym for Reticular Pigmentary Degeneration. HPO HP:0007937: A pattern of peripheral netlike retinal pigmentation that forms a polygonal arrangement of hyperpigmented lines forming geometric patterns in the fundus.,general,reticular degeneration of the rpe,HPO
34005,Reticular Hyperpigmentation,general,HPO HP:0007588: Increased pigmentation of the skin with a netlike (reticular) pattern.,general,reticular hyperpigmentation,HPO
34006,Reticular Pattern On Pulmonary HRCT,general,"HPO HP:0025390: On pulmonary high-resolution computed tomography, reticular pattern is characterized by innumerable interlacing shadows suggesting a mesh.",general,reticular pattern on pulmonary hrct,HPO
34007,Reticular Pigmentary Degeneration,general,HPO HP:0007937: A pattern of peripheral netlike retinal pigmentation that forms a polygonal arrangement of hyperpigmented lines forming geometric patterns in the fundus.,general,reticular pigmentary degeneration,HPO
34008,Reticular Pigmented Anomaly of the Flexures,general,"HPO exact synonym for Flexural Reticulate Hyperpigmentation. HPO HP:6000745: Hyperpigmented macules with a reticulate (net-like) pattern involving the neck, axillae, groins, and other flexures like the inframammary folds in females. Histopathology shows orthokeratosis or hyperkeratosis, thinning of the suprapa",general,reticular pigmented anomaly of the flexures,HPO
34009,Reticular Retinal Dystrophy,general,HPO HP:0007913: A type of of patterned retinal dystrophy that shows a reticular pattern of pigmentation.,general,reticular retinal dystrophy,HPO
34010,Reticulate Hyperpigmentation,general,HPO exact synonym for Reticular Hyperpigmentation. HPO HP:0007588: Increased pigmentation of the skin with a netlike (reticular) pattern.,general,reticulate hyperpigmentation,HPO
