symptom_id,symptom_name,category,description,related_body_system,search_name,source
4001,Abnormality of the Labia Minora,general,"HPO exact synonym for Abnormal Labia Minora Morphology. HPO HP:0012880: An anomaly of the labia minora, the folds of skin between the outer labia.",general,abnormality of the labia minora,HPO
4002,Abnormality of the Lacrimal Canaliculus,general,"HPO exact synonym for Abnormal Lacrimal Duct Morphology. HPO HP:0011481: An abnormality of the lacrimal duct, a duct that drain tears from the conjunctiva, via the lacrimal puncta, into the lacrimal sac.",general,abnormality of the lacrimal canaliculus,HPO
4003,Abnormality of the Lacrimal Duct,general,"HPO exact synonym for Abnormal Lacrimal Duct Morphology. HPO HP:0011481: An abnormality of the lacrimal duct, a duct that drain tears from the conjunctiva, via the lacrimal puncta, into the lacrimal sac.",general,abnormality of the lacrimal duct,HPO
4004,Abnormality of the Lacrimal Gland,general,"HPO exact synonym for Abnormal Lacrimal Gland Morphology. HPO HP:0011482: Abnormality of the lacrimal gland, i.e., of the almond-shaped gland that secretes the aqueous layer of the tear film for each eye.",general,abnormality of the lacrimal gland,HPO
4005,Abnormality of the Lacrimal Punctum,general,"HPO exact synonym for Abnormal Lacrimal Punctum Morphology. HPO HP:0011479: An abnormality of the lacrimal punctum, an opening on the eyelid close to the medial canthus that drains tears from the conjunctival sac into the lacrimal duct in the same eyelid.",general,abnormality of the lacrimal punctum,HPO
4006,Abnormality of the Large Intestine,general,HPO exact synonym for Abnormal Large Intestine Morphology. HPO HP:0002250: Any abnormality of the large intestine.,general,abnormality of the large intestine,HPO
4007,Abnormality of the Larynx,general,HPO HP:0001600: An abnormality of the larynx.,general,abnormality of the larynx,HPO
4008,Abnormality of the Left Hemidiaphragm,general,HPO exact synonym for Abnormal Left Hemidiaphragm Morphology. HPO HP:0040046: Human Phenotype Ontology term HP:0040046: Abnormal Left Hemidiaphragm Morphology.,general,abnormality of the left hemidiaphragm,HPO
4009,Abnormality of the Left Ventricle,general,HPO exact synonym for Abnormal Left Ventricle Morphology. HPO HP:0001711: Any structural abnormality of the left ventricle of the heart.,general,abnormality of the left ventricle,HPO
4010,Abnormality of the Left Ventricular Outflow Tract,general,HPO exact synonym for Abnormal Left Ventricular Outflow Tract Morphology. HPO HP:0011103: An abnormality of the outflow tract of the left ventricle.,general,abnormality of the left ventricular outflow tract,HPO
4011,Abnormality of the Leg,general,HPO exact synonym for Abnormality of the Lower Limb. HPO HP:0002814: An abnormality of the leg.,general,abnormality of the leg,HPO
4012,Abnormality of the Lens,general,HPO exact synonym for Abnormal Lens Morphology. HPO HP:0000517: An abnormality of the lens.,general,abnormality of the lens,HPO
4013,Abnormality of the Level of Lipoprotein Cholesterol,general,HPO exact synonym for Abnormality of Lipoprotein Cholesterol Concentration. HPO HP:0010979: An abnormal increase or decrease in the level of lipoprotein cholesterol in the blood.,general,abnormality of the level of lipoprotein cholesterol,HPO
4014,Abnormality of the Leydig Cells,general,HPO HP:0010789: Human Phenotype Ontology term HP:0010789: Abnormality of the Leydig Cells.,general,abnormality of the leydig cells,HPO
4015,Abnormality of the Line of Schwalbe,general,HPO exact synonym for Abnormal Line of Schwalbe Morphology. HPO HP:0008048: An abnormality of the line of Schwalbe.,general,abnormality of the line of schwalbe,HPO
4016,Abnormality of the Lip,general,HPO exact synonym for Abnormal Lip Morphology. HPO HP:0000159: An abnormality of the lip.,general,abnormality of the lip,HPO
4017,Abnormality of the Little Finger,general,HPO exact synonym for Abnormal 5th Finger Morphology. HPO HP:0004207: An abnormality affecting one or both 5th fingers.,general,abnormality of the little finger,HPO
4018,Abnormality of the Little Finger Bone,musculoskeletal,HPO exact synonym for Abnormal 5th Finger Phalanx Morphology. HPO HP:0004213: Abnormality of the phalanges of the 5th (little) finger.,musculoskeletal,abnormality of the little finger bone,HPO
4019,Abnormality of the Little Toe,general,HPO exact synonym for Abnormal Fifth Toe Morphology. HPO HP:0010322: An anomaly of the little toe.,general,abnormality of the little toe,HPO
4020,Abnormality of the Little Toe Bones,musculoskeletal,HPO exact synonym for Abnormality of the Phalanges of the 5th Toe. HPO HP:0010342: Human Phenotype Ontology term HP:0010342: Abnormality of the Phalanges of the 5th Toe.,musculoskeletal,abnormality of the little toe bones,HPO
4021,Abnormality of the Liver,general,HPO HP:0001392: An abnormality of the liver.,general,abnormality of the liver,HPO
4022,Abnormality of the Liver Vasculature,general,HPO exact synonym for Abnormality of the Hepatic Vasculature. HPO HP:0006707: An abnormality of the hepatic vasculature.,general,abnormality of the liver vasculature,HPO
4023,Abnormality of the Long Bone of Foot,musculoskeletal,HPO exact synonym for Abnormal Metatarsal Morphology. HPO HP:0001832: Abnormalities of the metatarsal bones (i.e. of five tubular bones located between the tarsal bones of the hind- and mid-foot and the phalanges of the toes).,musculoskeletal,abnormality of the long bone of foot,HPO
4024,Abnormality of the Long Bones of the Toes,musculoskeletal,HPO exact synonym for Abnormal Toe Phalanx Morphology. HPO HP:0010161: Human Phenotype Ontology term HP:0010161: Abnormal Toe Phalanx Morphology.,musculoskeletal,abnormality of the long bones of the toes,HPO
4025,Abnormality of the Lower Jaw Bone,musculoskeletal,"HPO exact synonym for Abnormal Mandible Morphology. HPO HP:0000277: Any abnormality of the mandible, the bone of the lower jaw.",musculoskeletal,abnormality of the lower jaw bone,HPO
4026,Abnormality of the Lower Limb,musculoskeletal,HPO HP:0002814: An abnormality of the leg.,musculoskeletal,abnormality of the lower limb,HPO
4027,Abnormality of the Lower Urinary Tract,urinary,HPO HP:0010936: An abnormality of the lower urinary tract.,urinary,abnormality of the lower urinary tract,HPO
4028,Abnormality of the Lumbar Spine,general,HPO exact synonym for Abnormal Lumbar Spine Morphology. HPO HP:0100712: Any structural abnormality of the lumbar vertebral column.,general,abnormality of the lumbar spine,HPO
4029,Abnormality of the Lumbosacral Nerve Plexus,general,HPO HP:0045053: Any abnormality of the lumbosacral nerve plexus.,general,abnormality of the lumbosacral nerve plexus,HPO
4030,Abnormality of the Lung Blood Vessels,general,HPO exact synonym for Abnormality of the Pulmonary Vasculature. HPO HP:0004930: Human Phenotype Ontology term HP:0004930: Abnormality of the Pulmonary Vasculature.,general,abnormality of the lung blood vessels,HPO
4031,Abnormality of the Lungs,general,HPO exact synonym for Abnormal Lung Morphology. HPO HP:0002088: Any structural anomaly of the lung.,general,abnormality of the lungs,HPO
4032,Abnormality of the Lymph Nodes,hematologic,HPO exact synonym for Abnormal Lymph Node Morphology. HPO HP:0002733: A structural lymph node abnormality.,hematologic,abnormality of the lymph nodes,HPO
4033,Abnormality of the Lymphatic System,general,"HPO HP:0100763: An anomaly of the lymphatic system, a network of lymphatic vessels that carry a clear fluid called lymph unidirectionally towards either the right lymphatic duct or the thoracic duct, which in turn drain into the right and left subclavian veins respectively.",general,abnormality of the lymphatic system,HPO
4034,Abnormality of the Lymphatic Vessels,general,HPO exact synonym for Abnormal Lymphatic Vessel Morphology. HPO HP:0100766: A structural anomaly of the vessel that contains or conveys lymph fluid.,general,abnormality of the lymphatic vessels,HPO
4035,Abnormality of the Macula,general,"HPO exact synonym for Abnormal Macular Morphology. HPO HP:0001103: A structural abnormality of the macula, a region that, in a clinical context, is typically used to describe the central part of the retina within the vascular arcades.",general,abnormality of the macula,HPO
4036,Abnormality of the Malar Arch,general,"HPO exact synonym for Abnormal Zygomatic Arch Morphology. HPO HP:0005557: An abnormality of the zygomatic arch, also known as the cheek bone.",general,abnormality of the malar arch,HPO
4037,Abnormality of the Male Genitalia,reproductive,HPO HP:0010461: Abnormality of the male genital system.,reproductive,abnormality of the male genitalia,HPO
4038,Abnormality of the Malleus,general,"HPO exact synonym for Abnormal Malleus Morphology. HPO HP:0011454: An abnormality of the malleus, an ossicle in the middle ear.",general,abnormality of the malleus,HPO
4039,Abnormality of the Mandible,general,"HPO exact synonym for Abnormal Mandible Morphology. HPO HP:0000277: Any abnormality of the mandible, the bone of the lower jaw.",general,abnormality of the mandible,HPO
4040,Abnormality of the Marrow Cavity of the Long Bones,musculoskeletal,"HPO exact synonym for Abnormality of the Medullary Cavity of the Long Bones. HPO HP:0100253: An abnormality of the medullary cavity (medulla, innermost part), which is the central cavity of bone shafts where red bone marrow and/or yellow bone marrow (adipose tissue) is stored.",musculoskeletal,abnormality of the marrow cavity of the long bones,HPO
4041,Abnormality of the Mastoid,general,"HPO exact synonym for Abnormal Mastoid Morphology. HPO HP:0000264: An abnormality of the mastoid process, which is the conical prominence projecting from the undersurface of the mastoid portion of the temporal bone.",general,abnormality of the mastoid,HPO
4042,Abnormality of the Maxilla,general,HPO exact synonym for Abnormal Maxilla Morphology. HPO HP:0000326: An abnormality of the Maxilla (upper jaw bone).,general,abnormality of the maxilla,HPO
4043,Abnormality of the Maxillary Antrum,general,"HPO exact synonym for Abnormality of the Maxillary Sinus. HPO HP:0430023: An abnormality of the maxillary sinus, one of the mucosa-lined, normally air-filled paranasal sinuses of the bones of the skull. The maxillary sinus is located within the skeleton of the midface, lateral to the nasal cavity.",general,abnormality of the maxillary antrum,HPO
