symptom_id,symptom_name,category,description,related_body_system,search_name,source
18001,Flared Nostrils,general,HPO HP:0000454: Human Phenotype Ontology term HP:0000454: Flared Nostrils.,general,flared nostrils,HPO
18002,Flared Outermost Metaphysis of Shankbone,musculoskeletal,"HPO exact synonym for Flared Distal Tibial Metaphysis. HPO HP:0030308: The presence of a splayed (i.e.,flared) metaphyseal segment of the distal tibia.",musculoskeletal,flared outermost metaphysis of shankbone,HPO
18003,Flared Outermost Metaphysis of Shinbone,musculoskeletal,"HPO exact synonym for Flared Distal Tibial Metaphysis. HPO HP:0030308: The presence of a splayed (i.e.,flared) metaphyseal segment of the distal tibia.",musculoskeletal,flared outermost metaphysis of shinbone,HPO
18004,Flared Outermost Wide Portion of of Calf Bone,musculoskeletal,"HPO exact synonym for Flared Distal Fibular Metaphysis. HPO HP:0030309: The presence of a splayed (i.e.,flared) metaphyseal segment of the distal fibula.",musculoskeletal,flared outermost wide portion of of calf bone,HPO
18005,Flared Proximal Tibial Metaphysis,general,"HPO HP:6000951: The presence of a splayed (i.e.,flared) metaphyseal segment of the proximal tibia.",general,flared proximal tibial metaphysis,HPO
18006,Flared Radial Metaphysis,general,"HPO HP:0004018: The presence of a splayed (i.e.,flared) metaphyseal segment of the radius.",general,flared radial metaphysis,HPO
18007,Flared Upper Limb Metaphysis,musculoskeletal,"HPO HP:0003849: The presence of a splayed (i.e.,flared) metaphyseal segment of one or more long bones of the arm.",musculoskeletal,flared upper limb metaphysis,HPO
18008,Flared Wide Portion of Elbow Bone,musculoskeletal,HPO exact synonym for Flared Elbow Metaphyses. HPO HP:0003950: Human Phenotype Ontology term HP:0003950: Flared Elbow Metaphyses.,musculoskeletal,flared wide portion of elbow bone,HPO
18009,Flared Wide Portion of Long Bone,musculoskeletal,"HPO exact synonym for Flared Metaphysis. HPO HP:0003015: The presence of a splayed (i.e.,flared) metaphyseal segment of one or more long bones.",musculoskeletal,flared wide portion of long bone,HPO
18010,Flared Wide Portion of Long Bone of Upper Arm,musculoskeletal,HPO exact synonym for Flared Humeral Metaphysis. HPO HP:0003911: Flaring (increase of width with a splayed appearance) of the humeral metaphysis.,musculoskeletal,flared wide portion of long bone of upper arm,HPO
18011,Flared Wide Portion of the Upper Limb Bone,musculoskeletal,"HPO exact synonym for Flared Upper Limb Metaphysis. HPO HP:0003849: The presence of a splayed (i.e.,flared) metaphyseal segment of one or more long bones of the arm.",musculoskeletal,flared wide portion of the upper limb bone,HPO
18012,"Flared, Irregular Rib Ends",general,"HPO HP:0006603: Human Phenotype Ontology term HP:0006603: Flared, Irregular Rib Ends.",general,flared irregular rib ends,HPO
18013,"Flared, Widened Metaphyses",general,"HPO exact synonym for Flared Metaphysis. HPO HP:0003015: The presence of a splayed (i.e.,flared) metaphyseal segment of one or more long bones.",general,flared widened metaphyses,HPO
18014,Flaring of Lower Rib Cage,general,HPO HP:0006589: Human Phenotype Ontology term HP:0006589: Flaring of Lower Rib Cage.,general,flaring of lower rib cage,HPO
18015,Flaring of Rib Cage,general,"HPO HP:0000904: The presence of wide, concave anterior rib ends.",general,flaring of rib cage,HPO
18016,Flat Acetabular Roof,general,"HPO HP:0003180: Flattening of the superior part of the acetabulum, which is a cup-shaped cavity at the base of the hipbone into which the ball-shaped head of the femur fits. The acetabular roof thereby appears horizontal rather than arched, as it normally does.",general,flat acetabular roof,HPO
18017,Flat Acetabular Roofs,general,"HPO exact synonym for Flat Acetabular Roof. HPO HP:0003180: Flattening of the superior part of the acetabulum, which is a cup-shaped cavity at the base of the hipbone into which the ball-shaped head of the femur fits. The acetabular roof thereby appears horizontal rather than arched, as it nor",general,flat acetabular roofs,HPO
18018,Flat Area Between the Eyebrows,sensory,"HPO exact synonym for Depressed Glabella. HPO HP:0011222: Posterior positioning of the glabella, i.e., of the midline forehead between the supraorbital ridges.",special_senses,flat area between the eyebrows,HPO
18019,Flat Bridge of Nose,general,HPO exact synonym for Depressed Nasal Bridge. HPO HP:0005280: Posterior positioning of the nasal root in relation to the overall facial profile for age.,general,flat bridge of nose,HPO
18020,Flat Capital Femoral Epiphyses,oral,HPO exact synonym for Flat Capital Femoral Epiphysis. HPO HP:0003370: An abnormal flattening of the proximal epiphysis of the femur.,oral,flat capital femoral epiphyses,HPO
18021,Flat Capital Femoral Epiphysis,oral,HPO HP:0003370: An abnormal flattening of the proximal epiphysis of the femur.,oral,flat capital femoral epiphysis,HPO
18022,Flat Cheekbone,musculoskeletal,"HPO exact synonym for Malar Flattening. HPO HP:0000272: Underdevelopment of the malar prominence of the jugal bone (zygomatic bone in mammals), appreciated in profile, frontal view, and/or by palpation.",musculoskeletal,flat cheekbone,HPO
18023,Flat Chest,general,HPO exact synonym for Thoracic Cage Flatness. HPO HP:6000327: The anteroposterior dimension of the chest on the lateral radiograph is often relatively narrow compared with the chest width on the frontal radiograph.,general,flat chest,HPO
18024,Flat Cornea,general,"HPO HP:0007720: Cornea plana is an abnormally flat shape of the cornea such that the normal protrusion of the cornea from the sclera is missing. The reduced corneal curvature can lead to hyperopia, and a hazy corneal limbus and arcus lipoides may develop at an early age.",general,flat cornea,HPO
18025,Flat Distal Femoral Epiphysis,oral,HPO HP:0006398: An abnormal flattening of the distal epiphysis of femur.,oral,flat distal femoral epiphysis,HPO
18026,Flat Dorsum of Nose,general,HPO exact synonym for Depressed Nasal Ridge. HPO HP:0000457: Lack of prominence of the nose resulting from a posteriorly-placed nasal ridge.,general,flat dorsum of nose,HPO
18027,Flat End Part of Bone,musculoskeletal,HPO exact synonym for Flattened Epiphysis. HPO HP:0003071: Abnormal flatness (decreased height) of epiphyses.,musculoskeletal,flat end part of bone,HPO
18028,Flat End Part of Innermost Thighbone,musculoskeletal,HPO exact synonym for Flat Capital Femoral Epiphysis. HPO HP:0003370: An abnormal flattening of the proximal epiphysis of the femur.,musculoskeletal,flat end part of innermost thighbone,HPO
18029,Flat End Part of Outermost Thighbone,musculoskeletal,HPO exact synonym for Flat Distal Femoral Epiphysis. HPO HP:0006398: An abnormal flattening of the distal epiphysis of femur.,musculoskeletal,flat end part of outermost thighbone,HPO
18030,Flat Epiphyses,general,HPO exact synonym for Flattened Epiphysis. HPO HP:0003071: Abnormal flatness (decreased height) of epiphyses.,general,flat epiphyses,HPO
18031,Flat Eyebrow,sensory,"HPO exact synonym for Horizontal Eyebrow. HPO HP:0011228: An eyebrow that extends straight across the brow, without curve.",special_senses,flat eyebrow,HPO
18032,Flat Face,general,HPO HP:0012368: Absence of concavity or convexity of the face when viewed in profile.,general,flat face,HPO
18033,Flat Facial Expression,general,HPO exact synonym for Muted Facial Expression. HPO HP:5200015: A tendency to produce facial expressions with decreased intensity or expressivity which appear muted or flat.,general,flat facial expression,HPO
18034,Flat Facial Profile,general,HPO exact synonym for Flat Face. HPO HP:0012368: Absence of concavity or convexity of the face when viewed in profile.,general,flat facial profile,HPO
