symptom_id,symptom_name,category,description,related_body_system,search_name,source
22001,Hypothreoninemia,general,HPO HP:0500136: A decreased amount of threonine in the blood.,general,hypothreoninemia,HPO
22002,Hypothyroidism,endocrine_metabolic,HPO HP:0000821: Deficiency of thyroid hormone.,endocrine,hypothyroidism,HPO
22003,"Hypothyroidism, Congenital",reproductive,HPO exact synonym for Congenital Hypothyroidism. HPO HP:0000851: A type of hypothyroidism with congenital onset.,reproductive,hypothyroidism congenital,HPO
22004,Hypotonia,general,"HPO HP:0001252: Hypotonia is an abnormally low muscle tone (the amount of tension or resistance to movement in a muscle). Even when relaxed, muscles have a continuous and passive partial contraction which provides some resistance to passive stretching. Hypotonia thus manifests as diminished resistance to passive stretching. Hypotonia is not the same as muscle weakness, although the two conditions can co-exist.",general,hypotonia,HPO
22005,Hypotonia Early,general,"HPO exact synonym for Floppy Infant. HPO HP:0008947: Floppiness/hypotonia is defined as reduced resistance to passive movement of joints. Physical examination of floppy/hypotonic infants shows head lag, lack of shoulder and elbow muscle contraction on traction response, inability to tig",general,hypotonia early,HPO
22006,Hypotonia in Infancy,general,"HPO exact synonym for Floppy Infant. HPO HP:0008947: Floppiness/hypotonia is defined as reduced resistance to passive movement of joints. Physical examination of floppy/hypotonic infants shows head lag, lack of shoulder and elbow muscle contraction on traction response, inability to tig",general,hypotonia in infancy,HPO
22007,"Hypotonia, Generalised",general,HPO exact synonym for Generalized Hypotonia. HPO HP:0001290: Generalized muscular hypotonia (abnormally low muscle tone).,general,hypotonia generalised,HPO
22008,"Hypotonia, Generalized",general,HPO exact synonym for Generalized Hypotonia. HPO HP:0001290: Generalized muscular hypotonia (abnormally low muscle tone).,general,hypotonia generalized,HPO
22009,"Hypotonia, in Neonatal Onset",pediatric,HPO exact synonym for Neonatal Hypotonia. HPO HP:0001319: Muscular hypotonia (abnormally low muscle tone) manifesting in the neonatal period.,general,hypotonia in neonatal onset,HPO
22010,"Hypotonia, Neonatal",pediatric,HPO exact synonym for Neonatal Hypotonia. HPO HP:0001319: Muscular hypotonia (abnormally low muscle tone) manifesting in the neonatal period.,general,hypotonia neonatal,HPO
22011,"Hypotonia, Neonatal, Generalised",pediatric,HPO exact synonym for Generalized Neonatal Hypotonia. HPO HP:0008935: Muscular hypotonia (abnormally low muscle tone) manifesting in the neonatal period and affecting the entire musculature.,general,hypotonia neonatal generalised,HPO
22012,"Hypotonia, Neonatal, Generalized",pediatric,HPO exact synonym for Generalized Neonatal Hypotonia. HPO HP:0008935: Muscular hypotonia (abnormally low muscle tone) manifesting in the neonatal period and affecting the entire musculature.,general,hypotonia neonatal generalized,HPO
22013,"Hypotonia, Severe",general,HPO exact synonym for Severe Muscular Hypotonia. HPO HP:0006829: A severe degree of muscular hypotonia characterized by markedly reduced muscle tone.,general,hypotonia severe,HPO
22014,Hypotonic Facies,general,HPO exact synonym for Facial Hypotonia. HPO HP:0000297: Reduced muscle tone of a muscle that is innervated by the facial nerve (the seventh cranial nerve).,general,hypotonic facies,HPO
