symptom_id,symptom_name,category,description,related_body_system,search_name,source
30001,Partial Duplication of the Phalanges of the 2nd Finger,general,"HPO HP:0009956: A partial duplication, depending on severity leading to a broad or bifid appearance, affecting one or more of the phalanges of the 2nd finger. As opposed to a complete duplication there is still a variable degree of fusion between the duplicated bones.",general,partial duplication of the phalanges of the 2nd finger,HPO
30002,Partial Duplication of the Phalanges of the 3rd Finger,general,"HPO HP:0009961: A partial duplication, depending on severity leading to a broad or bifid appearance, affecting one or more of the phalanges of the 3rd finger. As opposed to a complete duplication there is still a variable degree of fusion between the duplicated bones.",general,partial duplication of the phalanges of the 3rd finger,HPO
30003,Partial Duplication of the Phalanges of the 4th Finger,general,"HPO HP:0009974: A partial duplication, depending on severity leading to a broad or bifid appearance, affecting one or more of the phalanges of the 4th finger. As opposed to a complete duplication there is still a variable degree of fusion between the duplicated bones.",general,partial duplication of the phalanges of the 4th finger,HPO
30004,Partial Duplication of the Phalanges of the 5th Finger,general,"HPO HP:0009987: A partial duplication, depending on severity leading to a broad or bifid appearance, affecting one or more of the phalanges of the 5th finger. As opposed to a complete duplication there is still a variable degree of fusion between the duplicated bones.",general,partial duplication of the phalanges of the 5th finger,HPO
30005,Partial Duplication of the Phalanges of the Hallux,general,HPO HP:0010101: Human Phenotype Ontology term HP:0010101: Partial Duplication of the Phalanges of the Hallux.,general,partial duplication of the phalanges of the hallux,HPO
30006,Partial Duplication of the Phalanges of the Thumb,general,"HPO exact synonym for Partial Duplication of Thumb Phalanx. HPO HP:0009944: A partial duplication, depending on severity leading to a broad or bifid appearance, affecting one or more of the phalanges of the thumb. As opposed to a complete duplication there is still a variable degree of fusion between the dupl",general,partial duplication of the phalanges of the thumb,HPO
30007,Partial Duplication of the Phalanx of Hand,general,"HPO HP:0009999: A partial duplication, depending on severity leading to a broad or bifid appearance, affecting one or more of the phalanges of the hand. As opposed to a complete duplication there is still a variable degree of fusion between the duplicated bones.",general,partial duplication of the phalanx of hand,HPO
30008,Partial Duplication of the Pinkie Finger Bone,musculoskeletal,"HPO exact synonym for Partial Duplication of the Phalanges of the 5th Finger. HPO HP:0009987: A partial duplication, depending on severity leading to a broad or bifid appearance, affecting one or more of the phalanges of the 5th finger. As opposed to a complete duplication there is still a variable degree of fusion between the",musculoskeletal,partial duplication of the pinkie finger bone,HPO
30009,Partial Duplication of the Pinky Finger Bone,musculoskeletal,"HPO exact synonym for Partial Duplication of the Phalanges of the 5th Finger. HPO HP:0009987: A partial duplication, depending on severity leading to a broad or bifid appearance, affecting one or more of the phalanges of the 5th finger. As opposed to a complete duplication there is still a variable degree of fusion between the",musculoskeletal,partial duplication of the pinky finger bone,HPO
30010,Partial Duplication of the Proximal Bone of the Middle Finger,musculoskeletal,"HPO exact synonym for Partial Duplication of the Proximal Phalanx of the 3rd Finger. HPO HP:0009970: Partial duplication of the third proximal phalanx of hand, seen on x-rays as a broad and/or bifid phalanx.",musculoskeletal,partial duplication of the proximal bone of the middle finger,HPO
