symptom_id,symptom_name,category,description,related_body_system,search_name,source
2001,Abnormal Ossification of the Ischium,general,HPO exact synonym for Abnormal Ischium Ossification. HPO HP:6000654: An abnormality of the formation and mineralization of ischial bones.,general,abnormal ossification of the ischium,HPO
2002,Abnormal Ossification of the Pubic Bone,musculoskeletal,"HPO HP:0009105: Abnormal ossification (bone tissue formation) affecting the pubic bone, also known as the pubis.",musculoskeletal,abnormal ossification of the pubic bone,HPO
2003,Abnormal Ossification of the Sacrum,general,HPO HP:0025370: Abnormal bone tissue formation (ossification) affecting the sacrum.,general,abnormal ossification of the sacrum,HPO
2004,Abnormal Ossification of the Scaphoid,general,HPO HP:0045003: Human Phenotype Ontology term HP:0045003: Abnormal Ossification of the Scaphoid.,general,abnormal ossification of the scaphoid,HPO
2005,Abnormal Ossification of the Trapezium,general,HPO HP:0045001: Human Phenotype Ontology term HP:0045001: Abnormal Ossification of the Trapezium.,general,abnormal ossification of the trapezium,HPO
2006,Abnormal Ossification of the Trapezoid Bone,musculoskeletal,HPO HP:0045004: Human Phenotype Ontology term HP:0045004: Abnormal Ossification of the Trapezoid Bone.,musculoskeletal,abnormal ossification of the trapezoid bone,HPO
2007,Abnormal Osteoclast Count,general,"HPO HP:0030327: An anomaly in the number of osteoclasts in bone tissue, bone-resorbing cells that develop from macrophages. This finding can be observed by histological examination of bone tissue.",general,abnormal osteoclast count,HPO
2008,Abnormal Ovarian Morphology,reproductive,HPO HP:0031065: Human Phenotype Ontology term HP:0031065: Abnormal Ovarian Morphology.,reproductive,abnormal ovarian morphology,HPO
2009,Abnormal Ovarian Physiology,reproductive,HPO HP:0031066: Any anomaly of ovarian function.,reproductive,abnormal ovarian physiology,HPO
2010,Abnormal Oxygen Amount in Umbilical Cord Blood,general,HPO exact synonym for Abnormal Oxygen Level in Cord Blood. HPO HP:0500259: An abnormal level of blood oxygen in the cord blood.,general,abnormal oxygen amount in umbilical cord blood,HPO
2011,Abnormal Oxygen Level in Cord Blood,general,HPO HP:0500259: An abnormal level of blood oxygen in the cord blood.,general,abnormal oxygen level in cord blood,HPO
2012,Abnormal P Wave,general,"HPO HP:0031595: Any anomaly of the P wave of the EKG, which results from atrial depolarization. The P wave occurs when the sinoatrial node creates an action potential that depolarizes the atria.",general,abnormal p wave,HPO
2013,Abnormal P50/N95 Ratio of Pattern Electroretinogram,general,HPO HP:0030487: Human Phenotype Ontology term HP:0030487: Abnormal P50/N95 Ratio of Pattern Electroretinogram.,general,abnormal p50 n95 ratio of pattern electroretinogram,HPO
2014,Abnormal Palate Morphology,general,"HPO HP:0000174: Any abnormality of the palate, i.e., of roof of the mouth.",general,abnormal palate morphology,HPO
2015,Abnormal Palatine Bone Morphology,musculoskeletal,HPO HP:0430003: An abnormality of the palatine bone.,musculoskeletal,abnormal palatine bone morphology,HPO
2016,Abnormal Palm Morphology,general,"HPO HP:0100871: An abnormality of the palm, that is, of the front of the hand.",general,abnormal palm morphology,HPO
2017,Abnormal Palmar Dermal Ridges,general,HPO HP:0007608: Human Phenotype Ontology term HP:0007608: Abnormal Palmar Dermal Ridges.,general,abnormal palmar dermal ridges,HPO
2018,Abnormal Palmar Dermatoglyphics,general,"HPO HP:0001018: An abnormality of the dermatoglyphs, i.e., an abnormality of the patterns of ridges of the skin of palm of hand.",general,abnormal palmar dermatoglyphics,HPO
2019,Abnormal Pancreas Location,general,"HPO exact synonym for Ectopic Pancreatic Tissue. HPO HP:0006278: The presence of pancreatic tissue outside the normal pancreas, in many cases along the foregut and proximal midgut.",general,abnormal pancreas location,HPO
2020,Abnormal Pancreas Morphology,general,HPO HP:0012090: Human Phenotype Ontology term HP:0012090: Abnormal Pancreas Morphology.,general,abnormal pancreas morphology,HPO
2021,Abnormal Pancreas Size,general,HPO HP:0012094: A deviation from the normal size of the pancreas.,general,abnormal pancreas size,HPO
2022,Abnormal Pancreatic Acinus Morphology,general,HPO HP:0034584: Structural anomal of pancreatic acinus.,general,abnormal pancreatic acinus morphology,HPO
