symptom_id,symptom_name,category,description,related_body_system,search_name,source
32001,Proliferation of Bile Canaliculi,general,HPO exact synonym for Bile Duct Proliferation. HPO HP:0001408: Proliferative changes of the bile ducts.,general,proliferation of bile canaliculi,HPO
32002,Proline High in Urine,general,HPO exact synonym for Prolinuria. HPO HP:0003137: Level of proline in the urine anove the upper limit of normal.,general,proline high in urine,HPO
32003,Prolinemia,general,HPO exact synonym for Hyperprolinemia. HPO HP:0008358: An increased concentration of proline in the blood.,general,prolinemia,HPO
32004,Prolinuria,general,HPO HP:0003137: Level of proline in the urine anove the upper limit of normal.,general,prolinuria,HPO
32005,Prolong Qt Interval On Ekg,general,HPO exact synonym for Prolonged QT Interval. HPO HP:0001657: Increased time between the start of the Q wave and the end of the T wave as measured by the electrocardiogram (EKG).,general,prolong qt interval on ekg,HPO
32006,Prolonged,general,"HPO HP:0025297: Applied to an abnormality whose duration is extended over a longer period of time than is expected or usual (e.g., prolonged fever lasts longer than one usually sees with an infection).",general,prolonged,HPO
32007,Prolonged Activated Partial Thromboplastin Time,general,"HPO exact synonym for Prolonged Partial Thromboplastin Time. HPO HP:0003645: Increased time to coagulation in the partial thromboplastin time (PTT) test, a measure of the intrinsic and common coagulation pathways. Phospholipid, and activator, and calcium are mixed into an anticoagulated plasma sample, and the",general,prolonged activated partial thromboplastin time,HPO
32008,Prolonged Axillary Pressure,general,HPO exact synonym for Prolonged Exposure to Axillary Pressure. HPO HP:6001319: History of prolonged compressive pressure in the axillary region.,general,prolonged axillary pressure,HPO
32009,Prolonged Bleeding,hematologic,Bleeding that takes longer than expected to stop; clinical term: bleeding diathesis symptom.,hematologic,prolonged bleeding,Clinical_Curated
32010,Prolonged Bleeding After Dental Extraction,general,HPO HP:0006298: Prolonged bleeding post dental extraction sufficient to require medical intervention.,hematologic,prolonged bleeding after dental extraction,HPO
32011,Prolonged Bleeding After Minor Trauma,general,HPO exact synonym for Persistent Bleeding After Trauma. HPO HP:0001934: Human Phenotype Ontology term HP:0001934: Persistent Bleeding After Trauma.,hematologic,prolonged bleeding after minor trauma,HPO
32012,Prolonged Bleeding After Surgery,general,HPO HP:0004846: Bleeding that persists longer than the normal time following a surgical procedure.,hematologic,prolonged bleeding after surgery,HPO
32013,Prolonged Bleeding Following Circumcision,general,HPO HP:0030137: Bleeding that persists for a longer than usual time following circumcision.,hematologic,prolonged bleeding following circumcision,HPO
32014,Prolonged Bleeding Following Procedure,general,HPO HP:0011890: Prolonged or protracted bleeding following an invasive procedure or intervention.,hematologic,prolonged bleeding following procedure,HPO
32015,Prolonged Bleeding Time,general,HPO HP:0003010: Prolongation of the time taken for a standardized skin cut of fixed depth and length to stop bleeding.,hematologic,prolonged bleeding time,HPO
32016,Prolonged Central Motor Conduction Time,general,"HPO HP:0034399: Increased duration of the central motor conduction time (CMCT). The CMCT estimates the conduction time of corticospinal fibers between motor cortex and spinal (or bulbar) motoneurons. It includes the times for excitation of cortical cells, conduction via the corticobulbar-corticospinal tract and excitation of the motoneuron sufficient to reach its firing threshold. CMCT is calculated by subtracting the peripheral conduction time from the MEP latency recorded after cortical stimulation.",general,prolonged central motor conduction time,HPO
32017,Prolonged Clotting Time,general,HPO exact synonym for Prolonged Whole-blood Clotting Time. HPO HP:0005542: An abnormal prolongation (delay) in the time required by whole blood to produce a visible clot.,general,prolonged clotting time,HPO
32018,Prolonged Euglobulin Clot Lysis Time,general,HPO HP:0040243: Abnormally increased length of time required for an in vitro clot to dissolve in the absence of the normal plasmin inhibitors. This test is a clinical assay used to measure fibrinolysis. The euglobulin fraction of plasma is precipitated and used to form clot by addition of thrombin; after clot forms the rate of clot breakdown (fibrinolysis) can be monitored.,general,prolonged euglobulin clot lysis time,HPO
32019,Prolonged Exposure to Axillary Pressure,general,HPO HP:6001319: History of prolonged compressive pressure in the axillary region.,general,prolonged exposure to axillary pressure,HPO
32020,Prolonged G2 Phase of Cell Cycle,general,HPO HP:0003214: Human Phenotype Ontology term HP:0003214: Prolonged G2 Phase of Cell Cycle.,general,prolonged g2 phase of cell cycle,HPO
32021,Prolonged MEPC,general,"HPO exact synonym for Prolonged Miniature Endplate Currents. HPO HP:0003436: An abnormal prolongation of the miniature endplate potentials, i.e. the postsynaptic response to transmitter released from an individual vesicle at the neuromuscular junction.",general,prolonged mepc,HPO
32022,Prolonged MEPP,general,"HPO exact synonym for Prolonged Miniature Endplate Currents. HPO HP:0003436: An abnormal prolongation of the miniature endplate potentials, i.e. the postsynaptic response to transmitter released from an individual vesicle at the neuromuscular junction.",general,prolonged mepp,HPO
32023,Prolonged Miniature Endplate Currents,general,"HPO HP:0003436: An abnormal prolongation of the miniature endplate potentials, i.e. the postsynaptic response to transmitter released from an individual vesicle at the neuromuscular junction.",general,prolonged miniature endplate currents,HPO
32024,Prolonged Miniature Endplate Potentials,general,"HPO exact synonym for Prolonged Miniature Endplate Currents. HPO HP:0003436: An abnormal prolongation of the miniature endplate potentials, i.e. the postsynaptic response to transmitter released from an individual vesicle at the neuromuscular junction.",general,prolonged miniature endplate potentials,HPO
32025,Prolonged Myocardial Native T1,general,HPO exact synonym for Elevated Myocardial Native T1. HPO HP:4000006: Increased duration of myocardial T1 time without gadolinium contrast. T1 mapping consists of quantifying the T1 relaxation time of a tissue by using analytical expressions of image-based signal intensities. A fundamental principle of,general,prolonged myocardial native t1,HPO
32026,Prolonged N1 Sleep,mental_health,HPO HP:5200357: Increased duration of phase N1 of nonrapid eye movement (NREM) sleep.,mental_behavioral,prolonged n1 sleep,HPO
32027,Prolonged N2 Sleep,mental_health,HPO HP:5200358: Increased duration of phase N2 of nonrapid eye movement (NREM) sleep.,mental_behavioral,prolonged n2 sleep,HPO
32028,Prolonged N3 Sleep,mental_health,HPO HP:5200359: Increased duration of phase N3 of nonrapid eye movement (NREM) sleep.,mental_behavioral,prolonged n3 sleep,HPO
32029,Prolonged Need of Intravenous Antibiotic Therapy,general,HPO HP:0020095: Clinical assessment of a requirement to treat with intravenous antibiotics over an unusually prolonged period of time.,general,prolonged need of intravenous antibiotic therapy,HPO
32030,Prolonged Neonatal Jaundice,pediatric,HPO HP:0006579: Neonatal jaundice refers to a yellowing of the skin and other tissues of a newborn infant as a result of increased concentrations of bilirubin in the blood. Neonatal jaundice affects over half of all newborns to some extent in the first week of life. Prolonged neonatal jaundice is said to be present if the jaundice persists for longer than 14 days in term infants and 21 days in preterm infants.,gastrointestinal,prolonged neonatal jaundice,HPO
32031,Prolonged Nocturnal Sleep,mental_health,HPO exact synonym for Extended Nighttime Sleep. HPO HP:0025298: Sleeping for a longer duration than usual during the night.,mental_behavioral,prolonged nocturnal sleep,HPO
32032,Prolonged NREM Sleep,mental_health,HPO HP:5200363: Human Phenotype Ontology term HP:5200363: Prolonged NREM Sleep.,mental_behavioral,prolonged nrem sleep,HPO
32033,Prolonged P Wave,general,"HPO HP:0034308: Abnormal increased in the duration of the P wave, which is a marker of delayed inter-atrial conduction.",general,prolonged p wave,HPO
32034,Prolonged Partial Thromboplastin Time,general,"HPO HP:0003645: Increased time to coagulation in the partial thromboplastin time (PTT) test, a measure of the intrinsic and common coagulation pathways. Phospholipid, and activator, and calcium are mixed into an anticoagulated plasma sample, and the time is measured until a thrombus forms.",general,prolonged partial thromboplastin time,HPO
32035,Prolonged PR Interval,general,HPO HP:0012248: Increased time for the PR interval (beginning of the P wave to the beginning of the QRS complex).,general,prolonged pr interval,HPO
32036,Prolonged Prothrombin Time,general,"HPO HP:0008151: Increased time to coagulation in the prothrombin time test, which is a measure of the extrinsic pathway of coagulation. The results of the prothrombin time test are often expressed in terms of the International normalized ratio (INR), which is calculated as a ratio of the patient's prothrombin time (PT) to a control PT standardized for the potency of the thromboplastin reagent developed by the World Health Organization (WHO) using the formula: INR is equal to Patient PT divided by Control PT.",general,prolonged prothrombin time,HPO
32037,Prolonged PT,general,"HPO exact synonym for Prolonged Prothrombin Time. HPO HP:0008151: Increased time to coagulation in the prothrombin time test, which is a measure of the extrinsic pathway of coagulation. The results of the prothrombin time test are often expressed in terms of the International normalized ratio (INR),",general,prolonged pt,HPO
32038,Prolonged PTT,general,"HPO exact synonym for Prolonged Partial Thromboplastin Time. HPO HP:0003645: Increased time to coagulation in the partial thromboplastin time (PTT) test, a measure of the intrinsic and common coagulation pathways. Phospholipid, and activator, and calcium are mixed into an anticoagulated plasma sample, and the",general,prolonged ptt,HPO
