symptom_id,symptom_name,category,description,related_body_system,search_name,source
6001,Agenesis of Permanent Mandibular Central Incisor,general,HPO HP:0011048: Agenesis of lower secondary incisor.,general,agenesis of permanent mandibular central incisor,HPO
6002,Agenesis of Permanent Mandibular Lateral Incisor,general,HPO HP:0200158: Human Phenotype Ontology term HP:0200158: Agenesis of Permanent Mandibular Lateral Incisor.,general,agenesis of permanent mandibular lateral incisor,HPO
6003,Agenesis of Permanent Maxillary Central Incisor,general,HPO HP:0011045: Agenesis of upper secondary incisor.,general,agenesis of permanent maxillary central incisor,HPO
6004,Agenesis of Permanent Maxillary Lateral Incisor,general,HPO HP:0011050: Agenesis of one or more upper lateral secondary incisor.,general,agenesis of permanent maxillary lateral incisor,HPO
6005,Agenesis of Permanent Molar,general,HPO HP:0011055: Agenesis of secondary molar tooth.,general,agenesis of permanent molar,HPO
6006,Agenesis of Permanent Teeth,general,"HPO HP:0006349: A congenital defect characterized by the absence of one or more permanent teeth, including oligodontia, hypodontia, and adontia of the of permanent teeth.",general,agenesis of permanent teeth,HPO
6007,Agenesis of Permanent Upper Lateral Incisor,general,HPO exact synonym for Agenesis of Permanent Maxillary Lateral Incisor. HPO HP:0011050: Agenesis of one or more upper lateral secondary incisor.,general,agenesis of permanent upper lateral incisor,HPO
6008,Agenesis of Pineal Gland,general,"HPO HP:0012687: Failure to develop of the pineal gland, defined clinically as the absence of the pineal gland with no indication of the pineal gland even having been present.",general,agenesis of pineal gland,HPO
6009,Agenesis of Premolar,general,HPO HP:0011051: Agenesis of premolar tooth.,general,agenesis of premolar,HPO
6010,Agenesis of Primary Lower Central Incisor,general,HPO exact synonym for Agenesis of Primary Mandibular Central Incisor. HPO HP:0011047: Agenesis of lower primary incisor.,general,agenesis of primary lower central incisor,HPO
6011,Agenesis of Primary Mandibular Central Incisor,general,HPO HP:0011047: Agenesis of lower primary incisor.,general,agenesis of primary mandibular central incisor,HPO
6012,Agenesis of Primary Mandibular Lateral Incisor,general,HPO HP:0200159: Human Phenotype Ontology term HP:0200159: Agenesis of Primary Mandibular Lateral Incisor.,general,agenesis of primary mandibular lateral incisor,HPO
6013,Agenesis of Primary Maxillary Central Incisor,general,HPO HP:0011046: Agenesis of upper central primary incisor.,general,agenesis of primary maxillary central incisor,HPO
6014,Agenesis of Primary Maxillary Lateral Incisor,general,"HPO HP:0011049: Agenesis of one or more maxillary lateral incisor, comprising the maxillary lateral primary incisor.",general,agenesis of primary maxillary lateral incisor,HPO
6015,Agenesis of Pulmonary Vessels,general,HPO HP:0005311: A developmental defect characterized by the lack of formation of the pulmonary blood vessels.,general,agenesis of pulmonary vessels,HPO
6016,Agenesis of Putamen,general,HPO HP:0041052: A developmental defect characterized by the absence of the putamen owing to its failure to develop.,general,agenesis of putamen,HPO
6017,Agenesis of Second Permanent Molar,general,HPO HP:0011057: Agenesis of either mandibular second permanent molar or maxillary second permanent molar.,general,agenesis of second permanent molar,HPO
6018,Agenesis of Secondary Dentition,general,"HPO exact synonym for Agenesis of Permanent Teeth. HPO HP:0006349: A congenital defect characterized by the absence of one or more permanent teeth, including oligodontia, hypodontia, and adontia of the of permanent teeth.",general,agenesis of secondary dentition,HPO
6019,Agenesis of Secondary Molar,general,HPO exact synonym for Agenesis of Permanent Molar. HPO HP:0011055: Agenesis of secondary molar tooth.,general,agenesis of secondary molar,HPO
6020,Agenesis of Six Year Molar,general,HPO exact synonym for Agenesis of First Permanent Molar Tooth. HPO HP:0011056: Agenesis of either maxillary first permanent molar or mandibular first permanent molar or both.,general,agenesis of six year molar,HPO
6021,Agenesis of the Anterior Commissure,general,HPO HP:0030302: Absence of the anterior commissure.,general,agenesis of the anterior commissure,HPO
6022,Agenesis of the Carotid Canal,general,"HPO HP:0031604: A developmental defect characterized by the lack of formation of the carotid canal, which normally is a circular aperture in the temporal bone of the skull through which the internal carotid artery and the carotid plexus of nerves traverse.",general,agenesis of the carotid canal,HPO
6023,Agenesis of the Cerebral White Matter,general,HPO exact synonym for Cerebral White Matter Agenesis. HPO HP:0200017: Congenital defect with failure of the development of the cerebral white matter.,general,agenesis of the cerebral white matter,HPO
6024,Agenesis of the Corpus Callosum,general,"HPO exact synonym for Agenesis of Corpus Callosum. HPO HP:0001274: Absence of the corpus callosum as a result of the failure of the corpus callosum to develop, which can be the result of a failure in any one of the multiple steps of callosal development including cellular proliferation and migration,",general,agenesis of the corpus callosum,HPO
6025,Agenesis of the Diaphragm,general,"HPO HP:0008986: Congenital lack, i.e., aplasia of the diaphragm.",general,agenesis of the diaphragm,HPO
