symptom_id,symptom_name,category,description,related_body_system,search_name,source
10001,Carsickness,general,"MedlinePlus also-called term for Motion Sickness. Motion sickness is a common problem in people traveling by car, train, airplanes, and especially boats. Anyone can get it, but it is more common in children, pregnant women, and people taking certain",general,carsickness,MedlinePlus_Health_Topics_XML
10002,Cartilage Destruction,general,HPO HP:0100773: Human Phenotype Ontology term HP:0100773: Cartilage Destruction.,general,cartilage destruction,HPO
10003,Cartilage Inflammation,general,HPO exact synonym for Chondritis. HPO HP:0100662: Inflammation of cartilage.,general,cartilage inflammation,HPO
10004,Cartilaginous Malacia,general,HPO exact synonym for Cartilaginous Tracheobronchomalacia. HPO HP:0033990: Softening of the tracheal and/or bronchial cartilage resulting in segmental tracheal and/or bronchial weakness.,general,cartilaginous malacia,HPO
10005,Cartilaginous Nasal Ossification,general,HPO exact synonym for Cartilaginous Ossification of Nose. HPO HP:0005275: Human Phenotype Ontology term HP:0005275: Cartilaginous Ossification of Nose.,general,cartilaginous nasal ossification,HPO
10006,Cartilaginous Ossification of Larynx,general,HPO HP:0008747: Ossification affecting the set of cartilages of larynx.,general,cartilaginous ossification of larynx,HPO
10007,Cartilaginous Ossification of Nose,general,HPO HP:0005275: Human Phenotype Ontology term HP:0005275: Cartilaginous Ossification of Nose.,general,cartilaginous ossification of nose,HPO
10008,Cartilaginous Ossification of Pinnae,general,HPO exact synonym for Calcification of the Auricular Cartilage. HPO HP:0005103: Ossification affecting the external ear cartilage.,general,cartilaginous ossification of pinnae,HPO
10009,Cartilaginous Ossification of Rib,general,"HPO exact synonym for Costal Cartilage Calcification. HPO HP:0006646: Calcification of the costal cartilages, which are bars of hyaline cartilage found at the anterior ends of the ribs which serve to prolong the ribs forward and contribute to the elasticity of the walls of the thorax.",general,cartilaginous ossification of rib,HPO
10010,Cartilaginous Tracheobronchomalacia,general,HPO HP:0033990: Softening of the tracheal and/or bronchial cartilage resulting in segmental tracheal and/or bronchial weakness.,general,cartilaginous tracheobronchomalacia,HPO
10011,Caseating Pulmonary Granulomatosis,general,"HPO exact synonym for Necrotizing Pulmonary Granulomatosis. HPO HP:0033550: A granuloma that is associated with necrotic changes. Caseation necrosis is defined as a region in granulomas with eosinophilic, granular and cheese-like cellular debris with necrosis. The word caseous itself means pertaining or relat",general,caseating pulmonary granulomatosis,HPO
10012,Caseous Vernix-like Desquamation,general,"HPO HP:0025724: Vernix caseosa is a physiological, viscous biofilm that is produced by desquamated fetal skin and sebaceous glands covering the fetus at the third trimester in-utero. The substance's gross morphology in post-partum is described by the etymology, as vernix means varnish, and caseosa means cheesy-like matter. This finding refers to an abnormally thick and greasy vernix caseosa-like scale present at birth.",general,caseous vernix like desquamation,HPO
10013,Cat Cry,general,HPO HP:0200046: The presence of a characteristic high-pitched cry that sounds similar to the meowing of a kitten.,general,cat cry,HPO
10014,Cat Eye,sensory,HPO exact synonym for Iris Coloboma. HPO HP:0000612: A coloboma of the iris.,special_senses,cat eye,HPO
10015,Cat-like Cry,general,HPO exact synonym for Cat Cry. HPO HP:0200046: The presence of a characteristic high-pitched cry that sounds similar to the meowing of a kitten.,general,cat like cry,HPO
10016,Cataplexy,general,"HPO HP:0002524: A sudden and transient episode of bilateral loss of muscle tone, often triggered by emotions.",general,cataplexy,HPO
10017,Cataract,general,HPO HP:0000518: A cataract is an opacity or clouding that develops in the crystalline lens of the eye or in its capsule.,general,cataract,HPO
10018,"Cataract, Congenital",reproductive,"HPO exact synonym for Developmental Cataract. HPO HP:0000519: A cataract that occurs congenitally as the result of a developmental defect, in contrast to the majority of cataracts that occur in adulthood as the result of degenerative changes of the lens.",reproductive,cataract congenital,HPO
10019,"Cataract, Progressive",general,HPO exact synonym for Progressive Cataract. HPO HP:0007834: A kind of cataract that progresses with age.,general,cataract progressive,HPO
10020,Cataracta Pulverulenta Centralis,general,HPO exact synonym for Nuclear Pulverulent Cataract. HPO HP:0010698: A type of nuclear cataract involving congenital dust-like (pulverulent) opacity of the embryonal and fetal nucleus.,general,cataracta pulverulenta centralis,HPO
10021,Cataracts,general,HPO exact synonym for Cataract. HPO HP:0000518: A cataract is an opacity or clouding that develops in the crystalline lens of the eye or in its capsule.,general,cataracts,HPO
10022,"Cataracts, Congenital, Cerulean",reproductive,HPO exact synonym for Cerulean Cataract. HPO HP:0007976: Cerulean cataracts are a kind of congenital cataract having peripheral bluish and white opacifications in concentric layers with occasional central lesions arranged radially. Although the opacities may be observed during fetal develop,reproductive,cataracts congenital cerulean,HPO
10023,"Cataracts, Cortical Pulverulent",general,"HPO exact synonym for Cortical Pulverulent Cataract. HPO HP:0007780: A type of cataract characterized by punctate, dust-like opacities within the cortical region of the lens.",general,cataracts cortical pulverulent,HPO
