symptom_id,symptom_name,category,description,related_body_system,search_name,source
14001,Dental Diastema,general,HPO exact synonym for Diastema. HPO HP:0000699: Increased space between two adjacent teeth in the same dental arch.,general,dental diastema,HPO
14002,Dental Enamel Hypoplasia,general,HPO exact synonym for Enamel Hypoplasia. HPO HP:0006297: Developmental hypoplasia of the dental enamel.,general,dental enamel hypoplasia,HPO
14003,Dental Enamel Pits,general,HPO HP:0009722: The presence of small depressions in the dental enamel.,general,dental enamel pits,HPO
14004,Dental Enamel Pitting,general,HPO exact synonym for Dental Enamel Pits. HPO HP:0009722: The presence of small depressions in the dental enamel.,general,dental enamel pitting,HPO
14005,Dental Malformations,general,HPO exact synonym for Abnormal Dental Morphology. HPO HP:0006482: An abnormality of the morphology of the tooth.,general,dental malformations,HPO
14006,Dental Malocclusion,general,"HPO HP:0000689: Dental malocclusion refers to an abnormality of the occlusion, or alignment, of the teeth and the way the upper and lower teeth fit together, resulting in overcrowding of teeth or in abnormal bite patterns.",general,dental malocclusion,HPO
14007,Dental Overcrowding,general,HPO exact synonym for Dental Crowding. HPO HP:0000678: Changes in alignment of teeth in the dental arch,general,dental overcrowding,HPO
14008,Dental Root Anomaly,general,HPO exact synonym for Abnormal Dental Root Morphology. HPO HP:0006486: An abnormality of the dental root.,general,dental root anomaly,HPO
14009,Dental Root Fusion,general,HPO HP:6001459: An anomaly of the roots of a multi-rooted tooth (such as a molar) in which the roots are not physically divided by bone or periodontal ligament space.,general,dental root fusion,HPO
14010,Dental Root Hypoplasia,general,"HPO exact synonym for Short Dental Root. HPO HP:0006336: Tooth root length more than 2 SD below mean, or subjectively apparently decreased tooth root length.",general,dental root hypoplasia,HPO
14011,Dental Root Hypotrophy,general,"HPO exact synonym for Short Dental Root. HPO HP:0006336: Tooth root length more than 2 SD below mean, or subjectively apparently decreased tooth root length.",general,dental root hypotrophy,HPO
14012,Dental Roots Curved,general,HPO exact synonym for Curved Dental Root. HPO HP:4000104: A root of a tooth that is more rounded than normal.,general,dental roots curved,HPO
14013,Dentin Anomaly,general,HPO exact synonym for Abnormal Dentin Morphology. HPO HP:0010299: Any abnormality of dentin.,general,dentin anomaly,HPO
14014,Dentin Dysplasia,general,HPO HP:0033784: This is a bundled term as dentin dysplasia is composed of short roots with pointed ends and taurodontism and intrapulpal calcifications.,general,dentin dysplasia,HPO
14015,Dentinogenesis Imperfecta,general,HPO HP:0000703: Developmental dysplasia of dentin.,general,dentinogenesis imperfecta,HPO
14016,Dentinogenesis Imperfecta Limited to Primary Teeth,general,HPO HP:0011060: Developmental dysplasia of dentin affecting only the primary dentition.,general,dentinogenesis imperfecta limited to primary teeth,HPO
14017,Dentinogenesis Imperfecta of Adult and Baby Teeth,general,HPO exact synonym for Dentinogenesis Imperfecta of Primary and Permanent Teeth. HPO HP:0011086: Developmental dysplasia of dentin or both the primary dentition and the permanent dentition.,general,dentinogenesis imperfecta of adult and baby teeth,HPO
14018,Dentinogenesis Imperfecta of Baby Teeth,general,HPO exact synonym for Dentinogenesis Imperfecta Limited to Primary Teeth. HPO HP:0011060: Developmental dysplasia of dentin affecting only the primary dentition.,general,dentinogenesis imperfecta of baby teeth,HPO
14019,Dentinogenesis Imperfecta of Both Sets of Teeth,general,HPO exact synonym for Dentinogenesis Imperfecta of Primary and Permanent Teeth. HPO HP:0011086: Developmental dysplasia of dentin or both the primary dentition and the permanent dentition.,general,dentinogenesis imperfecta of both sets of teeth,HPO
14020,Dentinogenesis Imperfecta of Primary and Permanent Teeth,general,HPO HP:0011086: Developmental dysplasia of dentin or both the primary dentition and the permanent dentition.,general,dentinogenesis imperfecta of primary and permanent teeth,HPO
14021,Dentoalveolar Abscess,general,HPO exact synonym for Tooth Abscess. HPO HP:0030757: A pocket of pus located within a region of a tooth.,immune,dentoalveolar abscess,HPO
14022,Denuded Tubular Basement Membrane,general,HPO exact synonym for Renal Tubular Basement Membrane Denudation. HPO HP:0032594: Naked basement membranes without tubular epithelium.,general,denuded tubular basement membrane,HPO
14023,Deoxyuridine High in Urine,general,"HPO exact synonym for Elevated Urinary Deoxyuridine Level. HPO HP:6000116: The amount of deoxyuridine in the urine, normalized for urine concentration, is above the upper limit of normal.",general,deoxyuridine high in urine,HPO
14024,Dependency On Intravenous Nutrition,general,"HPO HP:0025156: Inability to be weaned from intravenous (parenteral) nutrition, as judged by the hydration status (urine output, blood urea nitrogen, creatinine, urine sodium concentration), ability to maintain weight, stool output, and serum electrolyte status.",general,dependency on intravenous nutrition,HPO
14025,Dependency On IV Nutrition,general,"HPO exact synonym for Dependency On Intravenous Nutrition. HPO HP:0025156: Inability to be weaned from intravenous (parenteral) nutrition, as judged by the hydration status (urine output, blood urea nitrogen, creatinine, urine sodium concentration), ability to maintain weight, stool output, and serum electro",general,dependency on iv nutrition,HPO
14026,Dependency On Parenteral Nutrition,general,HPO HP:0033994: Inability to ingest sufficient quantities of nutrition by mouth or by tube-feeding with the corresponding requirement for intravenous administration of nutrition.,general,dependency on parenteral nutrition,HPO
14027,Depersonalization,general,HPO HP:5200217: A psychological experience or symptom characterized by a sense of detachment or estrangement from oneself or one's surroundings.,general,depersonalization,HPO
14028,Depigmentation/hyperpigmentation of Skin,general,HPO HP:0007483: Human Phenotype Ontology term HP:0007483: Depigmentation/hyperpigmentation of Skin.,general,depigmentation hyperpigmentation of skin,HPO
14029,Depigmented Eyebrow,sensory,HPO exact synonym for White Eyebrow. HPO HP:0002226: White color (lack of pigmentation) of the eyebrow.,special_senses,depigmented eyebrow,HPO
14030,Depigmented Eyelashes,sensory,HPO exact synonym for White Eyelashes. HPO HP:0002227: White color (lack of pigmentation) of the eyelashes.,special_senses,depigmented eyelashes,HPO
14031,Depigmented Fundus,general,"HPO exact synonym for Fundus Hypopigmentation. HPO HP:0007894: Generalized or focal reduced pigmentation of the fundus, evaluated in the context of skin and hair color. Fundoscopy may reveal a low level pigment.",general,depigmented fundus,HPO
14032,Depleted Blood Volume,general,"HPO exact synonym for Hypovolemia. HPO HP:0011106: An decrease in the amount of intravascular fluid, particularly in the volume of the circulating blood.",general,depleted blood volume,HPO
14033,Depletion of Components of the Alternative Complement Pathway,general,"HPO HP:0005389: An abnormal reduction in the components of the alternative complement pathway, such as the C3 protein or its cleavage products.",general,depletion of components of the alternative complement pathway,HPO
14034,Depletion of Large Myelinated Fibers,general,HPO exact synonym for Decreased Number of Large Peripheral Myelinated Nerve Fibers. HPO HP:0003387: A reduced number of large myelinated nerve fibers.,general,depletion of large myelinated fibers,HPO
14035,Depletion of Large Myelinated Fibres,general,HPO exact synonym for Decreased Number of Large Peripheral Myelinated Nerve Fibers. HPO HP:0003387: A reduced number of large myelinated nerve fibers.,general,depletion of large myelinated fibres,HPO
14036,Depletion of Mitochondrial DNA in Liver,general,HPO HP:0006581: An abnormal reduction in the number of mitochondria in hepatocytes.,general,depletion of mitochondrial dna in liver,HPO
14037,Depletion of Mitochondrial DNA in Muscle Tissue,musculoskeletal,HPO HP:0009141: Human Phenotype Ontology term HP:0009141: Depletion of Mitochondrial DNA in Muscle Tissue.,musculoskeletal,depletion of mitochondrial dna in muscle tissue,HPO
14038,Depletion of Mitochondrial Dna in Skeletal Muscle Tissue,musculoskeletal,HPO exact synonym for Depletion of Mitochondrial DNA in Muscle Tissue. HPO HP:0009141: Human Phenotype Ontology term HP:0009141: Depletion of Mitochondrial DNA in Muscle Tissue.,musculoskeletal,depletion of mitochondrial dna in skeletal muscle tissue,HPO
14039,Deposits Immunoreactive to Beta-amyloid Protein,general,HPO HP:0003791: Human Phenotype Ontology term HP:0003791: Deposits Immunoreactive to Beta-amyloid Protein.,general,deposits immunoreactive to beta amyloid protein,HPO
14040,Depressed Antibody Response to Polysaccharide Antigens,mental_health,HPO exact synonym for Decreased Specific Anti-polysaccharide Antibody Level. HPO HP:0002848: The presence of normal overall immunoglobulin levels with deficiency of specific immunoglobulins directed against bacterial polysaccharides.,mental_behavioral,depressed antibody response to polysaccharide antigens,HPO
14041,Depressed Bridge of Nose,mental_health,HPO exact synonym for Depressed Nasal Bridge. HPO HP:0005280: Posterior positioning of the nasal root in relation to the overall facial profile for age.,mental_behavioral,depressed bridge of nose,HPO
14042,Depressed Cheeks,mental_health,HPO exact synonym for Sunken Cheeks. HPO HP:0009938: Lack or loss of the soft tissues between the zygomata and mandible.,mental_behavioral,depressed cheeks,HPO
14043,Depressed Dorsum of Nose,mental_health,HPO exact synonym for Depressed Nasal Ridge. HPO HP:0000457: Lack of prominence of the nose resulting from a posteriorly-placed nasal ridge.,mental_behavioral,depressed dorsum of nose,HPO
14044,Depressed Glabella,mental_health,"HPO HP:0011222: Posterior positioning of the glabella, i.e., of the midline forehead between the supraorbital ridges.",mental_behavioral,depressed glabella,HPO
14045,Depressed Malar Region,mental_health,"HPO exact synonym for Malar Flattening. HPO HP:0000272: Underdevelopment of the malar prominence of the jugal bone (zygomatic bone in mammals), appreciated in profile, frontal view, and/or by palpation.",mental_behavioral,depressed malar region,HPO
14046,Depressed Mood,mental_health,Persistent sadness or low mood; clinical symptom of depression.,mental_behavioral,depressed mood,Clinical_Curated
14047,Depressed Nasal Alae,mental_health,"HPO exact synonym for Flat Nasal Alae. HPO HP:0010649: An abnormal degree of flatness of the Ala of nose, which can be defined as a reduced nasal elevation index (lateral depth of the nose from the tip of the nose to the insertion of the nasal ala in the cheek x 100 divided by the side-to",mental_behavioral,depressed nasal alae,HPO
14048,Depressed Nasal Bridge,mental_health,HPO HP:0005280: Posterior positioning of the nasal root in relation to the overall facial profile for age.,mental_behavioral,depressed nasal bridge,HPO
